date,air_humidity_UniOS,air_pressure_UniOS,global_solar_radiation_UniOS,temperature_UniOS,wind_speed_avg_UniOS,wind_speed_max_UniOS,wind_direction_category_UniOS,year,month,day
2009-08-03,73.5817013889,1006.30024306,191.897916667,16.2564236111,6.53055555556,26.8,W,2009.0,8.0,3.0
2009-08-04,63.1049305556,1010.56333333,298.386215278,18.7776388889,4.2228125,21.33,SW,2009.0,8.0,4.0
2009-08-05,53.0028571429,1011.60344948,334.472299652,21.7267247387,7.42958188153,28.68,E,2009.0,8.0,5.0
2009-08-06,52.5666666667,1010.28305556,326.142881944,23.5934722222,8.87885416667,38.03,E,2009.0,8.0,6.0
2009-08-07,52.9453819444,1007.4078125,257.731388889,24.8778819444,7.99385416667,32.28,E,2009.0,8.0,7.0
2009-08-08,87.6746527778,1008.4346875,74.3069097222,18.9763541667,6.17725694444,22.98,W,2009.0,8.0,8.0
2009-08-09,85.2889930556,1008.09725694,128.631041667,19.1974652778,6.68159722222,22.12,NW,2009.0,8.0,9.0
2009-08-10,77.5759027778,1005.35354167,187.995902778,19.5007291667,5.16486111111,23.53,W,2009.0,8.0,10.0
2009-08-11,80.3051041667,1005.95836806,161.407326389,18.480625,9.24027777778,30.2,SW,2009.0,8.0,11.0
2009-08-12,84.0827874564,1006.31268293,102.810766551,17.2703484321,11.7229268293,41.48,SW,2009.0,8.0,12.0
2009-08-13,76.0151736111,1005.37791667,202.442847222,17.1278125,8.26142361111,26.31,SW,2009.0,8.0,13.0
2009-08-14,69.5635763889,1008.08732639,242.698472222,16.9182291667,5.84159722222,25.6,SW,2009.0,8.0,14.0
2009-08-15,60.3314583333,1005.28868056,297.521597222,20.7792708333,12.3662152778,40.26,SW,2009.0,8.0,15.0
2009-08-16,69.4197916667,1003.84010417,249.735902778,20.8526041667,11.4774305556,37.51,SW,2009.0,8.0,16.0
2009-08-17,77.4316319444,1003.42395833,225.027708333,18.6383333333,10.3641319444,40.86,SW,2009.0,8.0,17.0
2009-08-18,72.6792361111,1009.73916667,255.700104167,18.2816666667,8.90211805556,32.28,SW,2009.0,8.0,18.0
2009-08-19,58.4381533101,1009.8895122,292.57728223,22.7809059233,6.77020905923,27.57,E,2009.0,8.0,19.0
2009-08-20,55.5935416667,1006.10347222,225.425729167,26.0629861111,10.9093402778,46.44,SE,2009.0,8.0,20.0
2009-08-21,73.7831944444,1009.22788194,227.995173611,18.8118402778,10.6670486111,33.85,SW,2009.0,8.0,21.0
2009-08-22,67.9379166667,1013.19229167,253.874340278,17.1213888889,9.24142361111,30.86,SW,2009.0,8.0,22.0
2009-08-23,61.7196180556,1011.78104167,289.508611111,18.9063541667,7.81809027778,36.52,SE,2009.0,8.0,23.0
2009-08-24,53.9311458333,1000.91305556,300.596284722,21.3054861111,9.81979166667,45.66,E,2009.0,8.0,24.0
2009-08-25,76.0719791667,999.6084375,95.0372569444,19.5044444444,7.68972222222,28.97,SW,2009.0,8.0,25.0
2009-08-26,66.8332638889,1004.80722222,243.412638889,18.5626041667,9.21659722222,35.13,SW,2009.0,8.0,26.0
2009-08-27,62.1422222222,1004.14222222,238.9178125,21.3410069444,9.83777777778,48.09,SW,2009.0,8.0,27.0
2009-08-28,68.7017013889,1000.65083333,182.2875,18.1269791667,14.654375,57.35,SW,2009.0,8.0,28.0
2009-08-29,71.9848958333,1006.0459375,210.315104167,13.8394791667,14.7419444444,48.09,SW,2009.0,8.0,29.0
2009-08-30,71.208125,1008.93052083,161.4321875,13.8006597222,11.7165625,45.66,SW,2009.0,8.0,30.0
2009-08-31,61.0143055556,1006.46493056,273.878472222,18.6980902778,9.44208333333,34.26,SW,2009.0,8.0,31.0
2009-09-01,64.5536458333,999.899340278,133.597222222,19.6144791667,11.9569444444,51.8,SW,2009.0,9.0,1.0
2009-09-02,74.7998611111,1002.04472222,166.013090278,16.6250694444,13.1139930556,40.86,SW,2009.0,9.0,2.0
2009-09-03,76.0246180556,989.892222222,149.25,15.0,18.5198958333,73.22,SW,2009.0,9.0,3.0
2009-09-04,69.6344097222,992.829409722,192.010104167,14.1050694444,21.2616666667,52.82,SW,2009.0,9.0,4.0
2009-09-05,84.160625,1004.00711806,126.485486111,13.2194444444,15.7363888889,52.82,W,2009.0,9.0,5.0
2009-09-06,79.4234722222,1011.99885417,95.5090972222,13.5575347222,12.2645833333,32.66,SW,2009.0,9.0,6.0
2009-09-07,73.2149305556,1011.41704861,212.4290625,16.4520486111,7.37670138889,29.27,SW,2009.0,9.0,7.0
2009-09-08,66.0119444444,1011.48059028,245.956076389,19.7378472222,6.65583333333,26.07,SE,2009.0,9.0,8.0
2009-09-09,70.9247222222,1013.69496528,160.811944444,19.1175,7.05583333333,31.56,NW,2009.0,9.0,9.0
2009-09-10,75.6802083333,1020.39045139,116.966145833,15.4315625,9.87777777778,36.04,N,2009.0,9.0,10.0
2009-09-11,75.4532291667,1021.92996528,191.486493056,14.5506944444,8.63100694444,37.01,NW,2009.0,9.0,11.0
2009-09-12,77.9636111111,1016.83850694,135.450138889,14.3450347222,6.24673611111,26.55,W,2009.0,9.0,12.0
2009-09-13,80.4647916667,1009.73770833,138.860243056,13.5616666667,9.82982638889,40.86,NW,2009.0,9.0,13.0
2009-09-14,78.1584375,1009.68774306,113.327395833,13.8403472222,12.0448263889,46.44,N,2009.0,9.0,14.0
2009-09-15,88.9564583333,1008.5309375,47.7519444444,13.8586458333,13.1622222222,44.17,NE,2009.0,9.0,15.0
2009-09-16,83.0832638889,1007.80128472,115.530138889,15.4288888889,12.3078819444,40.86,NE,2009.0,9.0,16.0
2009-09-17,71.8610069444,1009.495625,229.2134375,13.3160416667,9.48430555556,33.85,NE,2009.0,9.0,17.0
2009-09-18,73.9795833333,1009.10163194,224.098819444,14.5156597222,6.94534722222,37.01,E,2009.0,9.0,18.0
2009-09-19,70.3664583333,1005.67486111,208.753923611,18.1130208333,6.43350694444,27.84,E,2009.0,9.0,19.0
2009-09-20,80.2630902778,1007.83888889,168.225416667,17.6350694444,5.70142361111,37.01,NW,2009.0,9.0,20.0
2009-09-21,77.5467708333,1014.32079861,195.770381944,14.4813541667,5.24256944444,22.8,W,2009.0,9.0,21.0
2009-09-22,69.0074652778,1013.39302083,172.274618056,15.3527777778,11.2161458333,44.17,SW,2009.0,9.0,22.0
2009-09-23,79.2065625,1013.25152778,77.3415625,15.1564930556,12.8039236111,35.58,SW,2009.0,9.0,23.0
2009-09-24,70.0707638889,1012.97305556,156.2825,15.06625,7.2128125,28.39,W,2009.0,9.0,24.0
2009-09-25,80.7996875,1015.78440972,96.1145138889,12.5183680556,4.12125,16.59,W,2009.0,9.0,25.0
2009-09-26,74.0013888889,1016.6721875,172.816423611,13.9838194444,2.80177083333,16.08,W,2009.0,9.0,26.0
2009-09-27,74.9663541667,1015.34756944,192.066979167,14.0348263889,4.09496527778,17.32,W,2009.0,9.0,27.0
2009-09-28,84.9467013889,1011.87489583,89.0280208333,13.2783680556,10.1755555556,40.26,SW,2009.0,9.0,28.0
2009-09-29,89.3229861111,1006.83902778,60.8190277778,14.0642013889,13.4655555556,39.67,W,2009.0,9.0,29.0
2009-09-30,88.3086458333,1005.8846875,95.0173263889,12.8558333333,8.66232638889,29.89,SW,2009.0,9.0,30.0
2009-10-01,79.9580902778,1001.56576389,114.083854167,12.2743402778,11.6112847222,47.25,W,2009.0,10.0,1.0
2009-10-02,85.7630208333,1003.94472222,56.2198958333,8.81677083333,10.8067361111,30.2,SW,2009.0,10.0,2.0
2009-10-03,79.8532986111,997.258506944,61.7931944444,11.5146527778,23.1923958333,69.36,SW,2009.0,10.0,3.0
2009-10-04,72.1673263889,996.426909722,131.466388889,11.7776041667,19.1104513889,65.9,SW,2009.0,10.0,4.0
2009-10-05,80.9247569444,1003.47211806,64.8614583333,9.35920138889,7.42114583333,29.27,SE,2009.0,10.0,5.0
2009-10-06,92.1811111111,999.375520833,44.7489583333,12.4443402778,8.65395833333,34.69,SW,2009.0,10.0,6.0
2009-10-07,89.4023958333,998.182013889,70.7644097222,16.9396180556,15.2021875,45.66,SW,2009.0,10.0,7.0
2009-10-08,84.73875,1002.088125,146.482465278,10.9242708333,7.93065972222,35.13,W,2009.0,10.0,8.0
2009-10-09,77.4971875,1010.86625,149.118541667,8.56888888889,6.84239583333,35.13,E,2009.0,10.0,9.0
2009-10-10,89.6299305556,1000.42645833,35.8070138889,9.67128472222,8.19774305556,28.39,E,2009.0,10.0,10.0
2009-10-11,90.8947569444,998.999826389,54.2636111111,10.5610763889,11.6299652778,38.56,SW,2009.0,10.0,11.0
2009-10-12,82.5441319444,1004.66083333,116.0884375,8.57833333333,11.2915625,46.44,NW,2009.0,10.0,12.0
2009-10-13,82.3915277778,1015.30430556,125.256909722,6.90815972222,8.62381944444,47.25,W,2009.0,10.0,13.0
2009-10-14,74.15125,1019.93895833,148.131076389,3.59131944444,7.29069444444,32.28,W,2009.0,10.0,14.0
2009-10-15,72.7192361111,1017.02420139,167.148923611,3.6065625,7.38215277778,33.85,W,2009.0,10.0,15.0
2009-10-16,84.8753472222,1007.84430556,80.7455902778,7.26788194444,14.1942708333,58.61,NW,2009.0,10.0,16.0
2009-10-17,79.8646180556,1010.38725694,105.284444444,6.89010416667,10.1219444444,48.09,NW,2009.0,10.0,17.0
2009-10-18,80.2011111111,1011.55076389,150.413715278,5.53322916667,4.17430555556,20.04,W,2009.0,10.0,18.0
2009-10-19,79.3929513889,1006.97545139,77.5627777778,6.71350694444,8.14402777778,39.11,SW,2009.0,10.0,19.0
2009-10-20,71.9818402778,999.551666667,145.511875,5.77538194444,11.3385416667,48.09,E,2009.0,10.0,20.0
2009-10-21,73.3605902778,995.563020833,105.694652778,6.14961805556,12.5923611111,43.46,E,2009.0,10.0,21.0
2009-10-22,81.5816666667,992.653784722,76.3484375,5.86197916667,9.69760416667,35.58,E,2009.0,10.0,22.0
2009-10-23,82.8944097222,999.731979167,68.3581944444,8.79302083333,3.84402777778,14.3,SE,2009.0,10.0,23.0
2009-10-24,82.7962847222,1002.56836806,61.0012152778,10.3362847222,9.56611111111,37.01,SE,2009.0,10.0,24.0
2009-10-25,81.9888850174,1000.95320557,84.796271777,12.7383972125,15.6207317073,44.17,SW,2009.0,10.0,25.0
2009-10-26,88.0897222222,1002.54340278,29.2302430556,11.0801388889,16.7268402778,47.25,SW,2009.0,10.0,26.0
2009-10-27,90.2962152778,1010.31840278,36.5705208333,10.8260069444,7.54295138889,25.6,W,2009.0,10.0,27.0
2009-10-28,82.7430208333,1008.3496875,80.6550694444,10.5322569444,5.53569444444,20.88,SW,2009.0,10.0,28.0
2009-10-29,93.4125694444,1011.28975694,30.1501736111,11.3825347222,3.875625,12.62,W,2009.0,10.0,29.0
2009-10-30,91.2186111111,1016.86923611,57.7479513889,9.63920138889,7.35993055556,30.86,E,2009.0,10.0,30.0
2009-10-31,87.1629861111,1014.23003472,65.8363888889,5.83923611111,7.44267361111,24.73,E,2009.0,10.0,31.0
2009-11-01,85.5309027778,1000.35128472,33.6041319444,9.29857638889,10.3776736111,56.14,SE,2009.0,11.0,1.0
2009-11-02,87.6850347222,988.717986111,67.0005902778,10.5748263889,9.58993055556,32.66,SW,2009.0,11.0,2.0
2009-11-03,82.3890972222,984.335902778,80.7021875,7.54538194444,13.5213541667,46.44,SW,2009.0,11.0,3.0
2009-11-04,88.773125,974.571319444,54.3085763889,7.61989583333,12.3200347222,40.86,SW,2009.0,11.0,4.0
2009-11-05,88.4828472222,981.472430556,23.1376736111,7.45305555556,13.9975347222,48.97,SW,2009.0,11.0,5.0
2009-11-06,84.3768055556,991.854895833,49.3339930556,8.72350694444,12.3743402778,35.58,SW,2009.0,11.0,6.0
2009-11-07,85.91875,986.712083333,32.7036458333,7.0975,11.5669791667,47.25,SE,2009.0,11.0,7.0
2009-11-08,87.7913541667,995.354930556,80.5100694444,6.9778125,7.59319444444,29.57,N,2009.0,11.0,8.0
2009-11-09,91.8165972222,1000.42565972,14.6016666667,5.58548611111,10.7645138889,36.04,N,2009.0,11.0,9.0
2009-11-10,94.3597569444,996.66875,24.1662847222,5.56381944444,9.268125,25.83,SW,2009.0,11.0,10.0
2009-11-11,91.8760069444,995.405972222,20.7143055556,6.82118055556,13.0160763889,31.21,SW,2009.0,11.0,11.0
2009-11-12,89.9861458333,995.713125,17.7514236111,6.06086805556,10.8035763889,33.04,SW,2009.0,11.0,12.0
2009-11-13,82.7332291667,996.158680556,33.7992708333,11.3471180556,14.1689236111,43.46,SW,2009.0,11.0,13.0
2009-11-14,75.1308680556,993.966006944,20.6436805556,12.6667708333,15.2965972222,48.97,SE,2009.0,11.0,14.0
2009-11-15,84.0032638889,998.315520833,36.6604166667,9.92715277778,13.4186111111,54.99,SW,2009.0,11.0,15.0
2009-11-16,87.8273958333,995.947152778,21.5859027778,9.2690625,9.47614583333,39.11,SW,2009.0,11.0,16.0
2009-11-17,78.2331944444,997.965625,33.6877430556,10.5319097222,15.9436805556,43.46,SW,2009.0,11.0,17.0
2009-11-18,81.7673958333,1001.51399306,32.2800347222,9.78479166667,28.1933680556,88.0,SW,2009.0,11.0,18.0
2009-11-19,72.7896527778,1006.88579861,57.9879513889,10.8892361111,19.1168055556,57.35,SW,2009.0,11.0,19.0
2009-11-20,67.56125,1006.66458333,61.0255555556,13.2945486111,14.9508680556,54.99,SW,2009.0,11.0,20.0
2009-11-21,80.6860069444,1010.05722222,55.1637847222,13.2884722222,9.49701388889,29.27,SE,2009.0,11.0,21.0
2009-11-22,72.9298958333,997.185069444,32.1356597222,11.5126388889,18.8773958333,77.55,SW,2009.0,11.0,22.0
2009-11-23,82.7316666667,987.606666667,16.2771180556,8.89673611111,25.9484375,82.44,SW,2009.0,11.0,23.0
2009-11-24,82.9683680556,994.678402778,21.2300347222,10.3017013889,21.9225694444,58.61,SW,2009.0,11.0,24.0
2009-11-25,75.7010069444,992.968715278,28.1114930556,11.2361111111,24.3619791667,65.9,SW,2009.0,11.0,25.0
2009-11-26,78.9582986111,993.0675,22.7736805556,8.19017361111,23.5133680556,75.33,SW,2009.0,11.0,26.0
2009-11-27,84.9240277778,988.935069444,19.9723958333,6.51170138889,19.6369097222,75.33,SW,2009.0,11.0,27.0
2009-11-28,84.6544097222,988.183645833,19.5545833333,6.85940972222,17.2402777778,77.55,SW,2009.0,11.0,28.0
2009-11-29,77.9215972222,984.414444444,34.9460763889,9.32434027778,13.2101041667,50.82,SW,2009.0,11.0,29.0
2009-11-30,83.4930555556,985.926041667,41.2686805556,6.56447916667,6.0659375,22.98,SW,2009.0,11.0,30.0
2009-12-01,84.9301041667,997.651319444,53.2941666667,3.14920138889,3.60847222222,26.31,W,2009.0,12.0,1.0
2009-12-02,86.6684027778,997.928680556,34.8529166667,2.28295138889,7.63732638889,32.66,E,2009.0,12.0,2.0
2009-12-03,82.7493402778,989.2403125,34.6939236111,7.36774305556,15.5442708333,50.82,SE,2009.0,12.0,3.0
2009-12-04,80.3466666667,995.174097222,28.4864930556,5.10534722222,12.8597222222,43.46,SW,2009.0,12.0,4.0
2009-12-05,85.8243402778,995.625069444,12.4240277778,4.6909375,13.8928819444,45.66,SW,2009.0,12.0,5.0
2009-12-06,88.5329513889,992.736597222,24.611875,9.07767361111,12.644375,39.11,SW,2009.0,12.0,6.0
2009-12-07,85.2621180556,997.39375,40.9710763889,6.29493055556,11.6597222222,35.13,SW,2009.0,12.0,7.0
2009-12-08,92.8180902778,997.473055556,12.3741666667,5.82604166667,11.0644791667,36.52,SW,2009.0,12.0,8.0
2009-12-09,89.3552777778,1010.68972222,37.70375,6.20121527778,9.83708333333,33.44,SW,2009.0,12.0,9.0
2009-12-10,93.2571180556,1007.211875,16.4592013889,7.87895833333,11.3568055556,34.26,W,2009.0,12.0,10.0
2009-12-11,91.8994791667,1015.21340278,16.2592708333,4.86305555556,9.83940972222,32.66,N,2009.0,12.0,11.0
2009-12-12,88.4807986111,1017.05041667,19.1283333333,2.55930555556,11.2569097222,38.03,N,2009.0,12.0,12.0
2009-12-13,85.7498958333,1014.69381944,39.9147222222,0.584201388889,10.8607291667,40.86,E,2009.0,12.0,13.0
2009-12-14,82.4219791667,1012.58090278,46.9849652778,-1.10069444444,7.55868055556,28.11,E,2009.0,12.0,14.0
2009-12-15,84.4803819444,1009.69395833,27.3918402778,-1.05548611111,5.26725694444,22.12,E,2009.0,12.0,15.0
2009-12-16,81.4282291667,1000.67038194,39.3339583333,-1.83197916667,7.14847222222,33.04,SW,2009.0,12.0,16.0
2009-12-17,85.1792013889,997.376909722,15.2246875,-2.58440972222,8.34496527778,25.6,E,2009.0,12.0,17.0
2009-12-18,84.0663541667,998.875381944,21.2473263889,-4.98065972222,11.1056944444,51.8,N,2009.0,12.0,18.0
2009-12-19,81.3261111111,997.627465278,37.8742013889,-11.8559027778,6.43798611111,21.03,SW,2009.0,12.0,19.0
2009-12-20,83.9708333333,985.544895833,14.7725,-6.64274305556,14.3041319444,52.82,SW,2009.0,12.0,20.0
2009-12-21,80.3297916667,985.428194444,39.9156944444,-1.78083333333,14.6083680556,45.66,SW,2009.0,12.0,21.0
2009-12-22,91.9167013889,975.672916667,12.5420486111,0.554618055556,10.8533680556,40.86,SW,2009.0,12.0,22.0
2009-12-23,89.0438888889,984.430173611,26.9943055556,-0.241666666667,10.5515625,33.44,SW,2009.0,12.0,23.0
2009-12-24,89.7611888112,982.477937063,39.503041958,-0.665384615385,7.72891608392,30.53,E,2009.0,12.0,24.0
2009-12-25,93.4533680556,975.841979167,11.1517708333,1.61923611111,20.2947916667,71.24,SW,2009.0,12.0,25.0
2009-12-26,83.2482291667,991.984131944,44.6969791667,3.76628472222,21.7248611111,54.99,SW,2009.0,12.0,26.0
2009-12-27,83.9163541667,988.880381944,17.3281944444,3.11065972222,17.4297569444,48.09,SW,2009.0,12.0,27.0
2009-12-28,91.0557291667,991.510034722,29.2636458333,2.48465277778,9.48215277778,46.44,SW,2009.0,12.0,28.0
2009-12-29,93.4179861111,990.725833333,36.3635763889,-0.913229166667,9.58111111111,29.89,E,2009.0,12.0,29.0
2009-12-30,94.6417361111,982.056076389,11.1551388889,-0.797743055556,10.638125,35.58,E,2009.0,12.0,30.0
2009-12-31,93.1797916667,983.843680556,19.0316666667,-1.70881944444,7.60506944444,24.32,NE,2009.0,12.0,31.0
2010-01-01,90.0566319444,987.90125,25.7321180556,-2.38923611111,7.94805555556,25.16,NE,2010.0,1.0,1.0
2010-01-02,87.7359375,1001.96291667,30.3089930556,-3.88107638889,5.61267361111,16.0,SW,2010.0,1.0,2.0
2010-01-03,90.0334722222,1008.04427083,37.8549305556,-4.83569444444,6.27552083333,19.78,N,2010.0,1.0,3.0
2010-01-04,88.6995470383,1004.06348432,41.2198954704,-5.12634146341,10.6167595819,33.85,SW,2010.0,1.0,4.0
2010-01-05,89.58625,994.500590278,21.0788888889,-2.05826388889,9.50385416667,28.68,SW,2010.0,1.0,5.0
2010-01-06,86.3246875,992.141423611,30.2249305556,-3.06875,6.0553125,19.04,SW,2010.0,1.0,6.0
2010-01-07,88.3784722222,998.494722222,32.5235416667,-2.87256944444,6.29399305556,20.73,SW,2010.0,1.0,7.0
2010-01-08,90.3373611111,1008.59288194,25.12875,-4.575625,10.9310416667,54.99,NE,2010.0,1.0,8.0
2010-01-09,88.8207986111,1005.36774306,22.6048611111,-2.51878472222,23.0014236111,62.77,NE,2010.0,1.0,9.0
2010-01-10,88.6917013889,1003.97020833,26.5170486111,-1.82302083333,12.7591319444,48.09,NE,2010.0,1.0,10.0
2010-01-11,89.1828819444,1006.38732639,21.1517013889,-1.20295138889,9.87086805556,39.11,NE,2010.0,1.0,11.0
2010-01-12,87.4374652778,1004.29170139,29.3692361111,-4.51090277778,8.69163194444,30.86,E,2010.0,1.0,12.0
2010-01-13,85.0426041667,995.993159722,49.2203819444,-5.20166666667,13.7760416667,44.9,E,2010.0,1.0,13.0
2010-01-14,87.6030555556,998.299618056,28.7011805556,-1.28517361111,7.50979166667,30.2,E,2010.0,1.0,14.0
2010-01-15,87.1047569444,1010.03180556,15.1695486111,0.328090277778,7.12402777778,24.12,SE,2010.0,1.0,15.0
2010-01-16,86.2704861111,1007.02847222,37.8593402778,-0.842291666667,12.2962152778,44.9,E,2010.0,1.0,16.0
2010-01-17,95.0226978417,1000.13442446,16.6123741007,1.39017985612,9.24510791367,32.28,W,2010.0,1.0,17.0
2010-01-18,95.2493402778,1011.21177083,30.1304513889,3.18222222222,11.7853472222,29.89,SW,2010.0,1.0,18.0
2010-01-19,94.9262847222,1010.09805556,20.8288888889,3.63284722222,6.99809027778,24.32,W,2010.0,1.0,19.0
2010-01-20,92.2093402778,1005.85225694,31.495625,1.56434027778,7.64027777778,23.53,E,2010.0,1.0,20.0
2010-01-21,90.1979861111,1011.50881944,28.7955555556,-0.954930555556,10.0785763889,32.66,E,2010.0,1.0,21.0
2010-01-22,89.5373958333,1014.90319444,26.4102083333,-2.98607638889,9.49697916667,30.53,E,2010.0,1.0,22.0
2010-01-23,88.4483333333,1013.33645833,34.6061111111,-3.95416666667,9.59225694444,31.92,E,2010.0,1.0,23.0
2010-01-24,86.4052430556,1013.08239583,25.9559722222,-4.23065972222,8.95059027778,28.11,E,2010.0,1.0,24.0
2010-01-25,84.5082986111,1018.34743056,61.5982638889,-6.58416666667,10.7091319444,32.66,E,2010.0,1.0,25.0
